Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,millisSinceGpsEpoch,cycle_slip_flag
Raw,1607638650445,26185670000000,18,,-1291647682775928921,0.4329643249511719,51.48511263541877,3.944182306911712,9.915088834545752,255,1,0.0,23567,425868352805382,139,15.9,528.8831787109375,10.000500679016112,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,4996979925,26185670,False
Raw,1607638653445,26188670000000,18,,-1291647682775928907,0.8051342964172363,52.71862391964533,3.3418111223663924,10.27057208526104,255,1,0.0,23567,425871352800450,61,22.7,529.5016479492188,1.0205000638961792,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,8007812621,26188670,False
Raw,1607638654445,26189670000000,18,,-1291647682775928900,0.3169417381286621,55.069889640435576,4.887907421795592,10.19467624581534,255,1,0.0,23567,425872352798681,70,21.6,529.72998046875,1.100499987602234,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,9077314967,26189670,False
Raw,1607638657445,26192670000000,18,,-1291647682775928900,0.3467440605163574,49.8525369039271,6.428940976535728,9.63296686981653,255,1,0.0,23567,425875352793319,61,22.6,529.6634521484375,1.0205000638961792,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,12004921665,26192670,False
Raw,1607638658445,26193670000000,18,,-1291647682775928903,0.1951484680175781,51.195587730035186,4.6015362825653225,9.496401598373575,255,1,0.0,23567,425876352791613,70,21.7,530.47216796875,1.100499987602234,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,13002020566,26193670,False
Raw,1607638662445,26197670000000,18,,-1291647682775928895,0.3013801574707031,53.49069397198036,3.665281618865344,9.496442952869938,255,1,0.0,23567,425880352784514,53,23.6,529.796630859375,0.9404999613761902,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,17008436121,26197670,False
Raw,1607638665445,26200670000000,18,,-1291647682775928891,0.8909378051757812,53.682506404584274,6.950764338434174,9.60595840729921,255,1,0.0,23567,425883352779183,53,22.9,530.129638671875,1.0205000638961792,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,20006764962,26200670,False
Raw,1607638671445,26206670000000,18,,-1291647682775928861,0.8273706436157227,54.53650373965502,3.9744502194931415,11.642099524010105,255,1,0.0,23567,425889352768568,70,21.7,528.1600952148438,1.100499987602234,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,26010721081,26206670,False
Raw,1607638672445,26207670000000,18,,-1291647682775928863,0.3686790466308594,50.90751074021682,-0.7519827060817094,9.687359961712296,255,1,0.0,23567,425890352766801,46,24.4,530.2437744140625,0.8704999685287476,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,27011600920,26207670,False
Raw,1607638675445,26210670000000,18,,-1291647682775928830,0.4418063163757324,43.341144191799685,5.9223221519193805,9.777574795522836,255,1,0.0,23567,425893352761483,31,27.1,528.5882568359375,0.6904999613761902,16,0.0,0.0,1575420030.0,,,,0,,6,,,,,,,C,30010007729,26210670,False
