MessageType,utcTimeMillis,MeasurementX,MeasurementY,MeasurementZ,BiasX,BiasY,BiasZ
UncalAccel,1607640760002,0.02730364,9.849287,-0.8101408,0.0,0.0,0.0
UncalMag,1607640760004,39.510353,3.911188,-155.72684,-31.0773,51.787903,-198.1201
UncalAccel,1607640760012,0.017723322,9.961856,-0.87001777,0.0,0.0,0.0
UncalMag,1607640760014,40.509094,2.7865174,-156.41212,-31.0773,51.787903,-198.1201
UncalGyro,1607640760017,-0.002538525,-0.0009588134,-0.0012384676,0.0,0.0,0.0
UncalAccel,1607640760022,0.10155112,9.782225,-0.70715237,0.0,0.0,0.0
UncalMag,1607640760024,39.62063,3.1042695,-155.51706,-31.0773,51.787903,-198.1201
UncalAccel,1607640760032,0.063229844,9.751089,-0.7334982,0.0,0.0,0.0
UncalMag,1607640760034,39.952637,3.5510013,-155.7022,-31.0773,51.787903,-198.1201
UncalGyro,1607640760037,0.0027882159,0.0009055463,-0.0012384672,0.0,0.0,0.0
UncalAccel,1607640760042,-0.018202886,9.94509,-0.9394752,0.0,0.0,0.0
UncalMag,1607640760044,39.24645,2.502237,-156.84694,-31.0773,51.787903,-198.1201
UncalAccel,1607640760052,0.07041508,9.846892,-0.7598441,0.0,0.0,0.0
UncalMag,1607640760054,40.324512,2.2197237,-156.21878,-31.0773,51.787903,-198.1201
UncalGyro,1607640760057,-0.004935558,0.000639209,0.0003595543,0.0,0.0,0.0
UncalAccel,1607640760062,0.13268715,9.7271385,-0.65925074,0.0,0.0,0.0
UncalMag,1607640760064,39.102745,1.956537,-154.82382,-31.0773,51.787903,-198.1201
UncalAccel,1607640760072,0.00095775723,9.911559,-0.82930136,0.0,0.0,0.0
UncalMag,1607640760074,38.732162,3.4220216,-154.62201,-31.0773,51.787903,-198.1201
UncalGyro,1607640760077,0.004386238,-0.00015980244,-0.0015048045,0.0,0.0,0.0
UncalAccel,1607640760082,0.017723322,10.004968,-0.88678336,0.0,0.0,0.0
UncalMag,1607640760084,39.406517,1.5874784,-154.03519,-31.0773,51.787903,-198.1201
UncalAccel,1607640760092,0.13268715,9.777435,-0.7502638,0.0,0.0,0.0
UncalMag,1607640760094,40.167675,2.0678558,-155.90239,-31.0773,51.787903,-198.1201
UncalGyro,1607640760097,-0.0041365465,0.000639209,0.00062589115,0.0,0.0,0.0
UncalAccel,1607640760102,0.029698718,9.755879,-0.695177,0.0,0.0,0.0
UncalMag,1607640760104,40.314487,4.2802095,-155.29703,-31.0773,51.787903,-198.1201
UncalAccel,1607640760112,0.01532824,9.947486,-0.9107342,0.0,0.0,0.0
UncalMag,1607640760114,39.573753,2.8130038,-156.86977,-31.0773,51.787903,-198.1201
UncalGyro,1607640760118,0.0003911825,-0.0006924761,-0.0007057935,0.0,0.0,0.0
UncalAccel,1607640760122,0.075205244,9.8181505,-0.7215228,0.0,0.0,0.0
